Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.204868 43.06101)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.193087 43.032535)
ACMG Federal Credit Union,4800 SOUTH SALINA STREET,SYRACUSE,13205,Onondaga,POINT (-76.142745 43.000336)
Abacus Federal Savings Bank,36-30 Main Street,Flushing,11354,Queens,POINT (-73.831598 40.76235)
Abacus Federal Savings Bank,4824 8TH AVENUE,BROOKLYN,11220,Kings,POINT (-74.003033 40.641776)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.99746 40.714236)
Abacus Federal Savings Bank,104-116 Nassau Street,New York,10038,New York,POINT (-74.007268 40.710658)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.63242 43.053711)
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,POINT (-75.748044 43.335045)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.459953 43.208441)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.598296 43.075981)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.728873 43.199068)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.970643 43.711849)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.230972 43.101546)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.254445 43.243069)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.046778 43.020087)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.859337 43.043326)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.439069 43.231066)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.986159 43.027845)
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.005787 43.01112)
Adirondack Bank,Utica College,Utica,13501,Oneida,
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.31591 43.476015)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.293556 43.120311)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.998995 44.296634)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.130295 44.328432)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.131654 44.3263)
Adirondack Bank,2817 Genesee Street,Utica,13501,Oneida,POINT (-75.284718 43.074857)
Adirondack Bank,4697 Commercial Drive,New Hartford,13413,Oneida,POINT (-75.311514 43.089219)
"Adirondack Trust Company, The",79 Main Street,Queensbury,12804,Warren,POINT (-73.672045 43.299269)
"Adirondack Trust Company, The",350 Canada Street,Lake George,12845,Warren,POINT (-73.71207 43.427037)
"Adirondack Trust Company, The",51B Luther Forest Blvd.,Malta,12118,Saratoga,POINT (-73.784627 42.947579)
"Adirondack Trust Company, The",315 Church Street,Saratoga Springs,12866,Saratoga,POINT (-73.804691 43.085156)
"Adirondack Trust Company, The",322 RUHLE ROAD,BALLSTON LAKE,12019,Saratoga,POINT (-73.808487 42.936019)
"Adirondack Trust Company, The",376 Bay Road,Queensbury,12804,Saratoga,POINT (-73.653372 43.335337)
"Adirondack Trust Company, The",224 Church Avenue,Ballston Spa,12020,Saratoga,POINT (-73.851599 42.990126)
"Adirondack Trust Company, The",13 Triebel Avenue,Ballston Spa,12020,Saratoga,POINT (-73.851234 43.047971)
"Adirondack Trust Company, The",3017 Route  50,Wilton,12866,Saratoga,
"Adirondack Trust Company, The",162 Northline Road,Ballston Spa,12020,Saratoga,POINT (-73.838707 43.022672)
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,
"Adirondack Trust Company, The",112 Broadway,Saratoga Springs,12866,Saratoga,
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,
"Adirondack Trust Company, The",2510 Route 9,Malta,12020,Saratoga,
"Adirondack Trust Company, The",473 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.78483 43.08309)
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,POINT (-77.584428 43.192588)
Advantage Federal C.U.,70 Metro Park,Rocheter,14623,Monroe,POINT (-77.615771 43.0976)
Advantage Federal C.U.,225 WEST BROAD STREET,ROCHESTER,14614,Monroe,POINT (-77.617774 43.153936)
Advantage Federal C.U.,601 ELMWOOD AVENUE,ROCHESTER,14642,Monroe,POINT (-77.622451 43.12444)
Advantage Federal C.U.,1625 MOUNT HOPE AVENUE,ROCHESTER,14620,Monroe,POINT (-77.62069 43.118151)
Advantage Federal C.U.,38 LOMB MEMORIAL DRIVE,ROCHESTER,14623,Monroe,POINT (-77.674602 43.091103)
Advantage Federal C.U.,1975 BUFFALO ROAD,ROCHESTER,14624,Monroe,POINT (-77.707937 43.147967)
Advantage Federal C.U.,2515 BROWNCROFT BOULEVARD,ROCHESTER,14626,Monroe,POINT (-77.504604 43.153669)
Advantage Federal C.U.,1000 SOUTH AVENUE,ROCHESTER,14620,Monroe,POINT (-77.607295 43.136451)
Advantage Federal C.U.,100 KINGS HIGHWAY SOUTH,ROCHESTER,14617,Monroe,POINT (-77.577195 43.202074)
Advantage Federal C.U.,701 LIBRARY ROAD,ROCHESTER,14627,Monroe,POINT (-77.628031 43.128941)
Advantage Federal C.U.,321 NEW CAMPUS DRIVE,BROCKPORT,14420,Monroe,POINT (-77.950907 43.209144)
Advantage Federal C.U.,6000 Reynolds Drive,Rochester,14623,Monroe,
Advantage Federal C.U.,100 EXCHANGE BLVD,ROCHESTER,14614,Monroe,POINT (-77.61162 43.153594)
Advantage Federal C.U.,211 BAILEY ROAD,HENRIETTA,14586,Monroe,POINT (-77.677959 43.072127)
Advantage Federal C.U.,1 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.607 43.07332)
Advantage Federal C.U.,100 EXCHANGE BLVD,ROCHESTER,14614,Monroe,POINT (-77.61162 43.153594)
Advantage Federal C.U.,100 RESIDENCE DRIVE,BROCKPORT,14420,Monroe,POINT (-77.947189 43.211022)
Alco Federal Credit Union,24 East Main St,Cuba,14727,Allegany,POINT (-78.274756 42.217504)
Alco Federal Credit Union,2859 Lindy Lane,Wellsville,14895,Allegany,POINT (-77.978891 42.123546)
Alco Federal Credit Union,32 Greenwich Street,Belmont,14813,Allegany,POINT (-78.028496 42.225026)
Alco Federal Credit Union,25 West Main Street,Friendship,14739,Allegany,POINT (-78.13484 42.207483)
Alden State Bank,5802 Broadway,Lancaster,14086,Erie,POINT (-78.644966 42.894862)
Alden State Bank,13216 Broadway,Alden,14004,Erie,POINT (-78.495462 42.900207)
Alden State Bank,6545 Transit Rd,Clarence,14051,New York,POINT (-78.696927 43.027293)
Alma Bank,4401 13th Avenue,Brooklyn,11219,Kings,POINT (-73.98929 40.637733)
Alma Bank,1023 Avenue of the Americas,New York,10018,New York,POINT (-73.98584 40.75244)
Alma Bank,1705 Crosby Avenue,Bronx,10461,Bronx,POINT (-73.831308 40.845585)
Alma Bank,1218 Kings Highway,Brooklyn,11237,Kings,POINT (-73.960463 40.607862)
Alma Bank,41-02 Broadway,Astoria,11103,Queens,POINT (-73.918062 40.758526)
Alma Bank,8424 5th Avenue,Brooklyn,11209,Kings,POINT (-74.025571 40.622291)
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,POINT (-73.911791 40.776889)
Alma Bank,2831 31st Street,Astoria,11102,Queens,POINT (-73.921115 40.767229)
Alma Bank,21311 Northern Boulevard,Bayside,11361,Queens,POINT (-73.769888 40.760237)
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,14850,Tompkins,POINT (-76.51054 42.439626)
Alternatives Federal Credit Union,125 N Fulton St,Ithaca,14850,Tompkins,POINT (-76.51054 42.439626)
Amalgamated Bank,1212 Fulton Street,Brooklyn,11216,Kings,POINT (-73.952039 40.680524)
Amalgamated Bank,2067 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.828754 40.869525)
Amalgamated Bank,10 East 14th Street,New York,10003,New York,POINT (-73.992967 40.735726)
Amerasia Bank,86-26 Broadway,Elmhurst,11373,Queens,POINT (-73.877185 40.73779)
Amerasia Bank,41-06 Main Street,Flushing,11355,Queens,POINT (-73.829441 40.758022)
Amerasia Bank,214-01 Northern Blvd.,Bayside,11361,Queens,POINT (-73.7689 40.76033)
AmeriCU Credit Union,1916 BLACK RIVER BOULEVARD,ROME,13440,Oneida,POINT (-75.436138 43.23662)
AmeriCU Credit Union,280 GENESEE STREET,ONEIDA,13421,Madison,POINT (-75.651626 43.078584)
AmeriCU Credit Union,4957 COMMERCIAL DRIVE,YORKVILLE,13495,Oneida,POINT (-75.298521 43.103129)
AmeriCU Credit Union,6303 Thompson Road,Syracuse,13206,Onondaga,POINT (-76.089106 43.076142)
AmeriCU Credit Union,295 GRANT AVENUE,AUBURN,13021,Cayuga,POINT (-76.544556 42.954017)
AmeriCU Credit Union,20991 NYS ROUTE 3,WATERTOWN,13601,Jefferson,
AmeriCU Credit Union,231 HILL ROAD,ROME,13440,Oneida,POINT (-75.418974 43.221065)
AmeriCU Credit Union,8007 OSWEGO ROAD,LIVERPOOL,13090,Onondaga,POINT (-76.228823 43.158522)
AmeriCU Credit Union,200 WALTON STREET,SYRACUSE,13202,Onondaga,POINT (-76.155811 43.04797)
AmeriCU Credit Union,326 EAST STATE STREET,HERKIMER,13350,Herkimer,POINT (-74.980639 43.027526)
AmeriCU Credit Union,6414 STATE ROUTE 31,CICERO,13039,Onondaga,POINT (-76.07809 43.17728)
AmeriCU Credit Union,7394 UTICA BOULEVARD,LOWVILLE,13367,Lewis,POINT (-75.483936 43.777985)
AmeriCU Credit Union,5439 NORTH BURDICK STREET,FAYETTEVILLE,13066,Onondaga,POINT (-76.017435 43.039084)
AmeriCU Credit Union,5212 WEST GENESEE STREET,CAMILLUS,13031,Onondaga,POINT (-76.267751 43.041314)
AmeriCU Credit Union,224 NORTH GENESEE STREET,UTICA,13502,Oneida,POINT (-75.215082 43.112785)
AmeriCU Credit Union,82 Albany Street,Cazenovia,13035,Madison,POINT (-75.852768 42.929876)
AmeriCU Credit Union,BUILDING P10750,FT. DRUM,13603,Jefferson,
AmeriCU Credit Union,3944 NY Rt 281,Cortland,13045,Cortland,POINT (-76.204654 42.597835)
AmeriCU Credit Union,4865 WEST SENECA TURNPIKE,SYRAUCSE,13215,Onondaga,POINT (-76.180013 43.005515)
AmeriCU Credit Union,590 Bridge Street,Geddes,13209,Onondaga,POINT (-76.213104 43.072443)
AmeriCU Credit Union,759-763 State Fair Blvd,Syracuse,13209,Onondaga,POINT (-76.23732 43.086699)
American Broadcast Employees Federal Credit Union,77 West 66th Street,New York,10023,New York,POINT (-73.980728 40.773259)
American Broadcast Employees Federal Credit Union,30 West 66th Street,New York,10023,New York,POINT (-73.97956 40.772772)
Apple Bank For Savings,85 Pondfield Road,Bronxville,10708,Westchester,POINT (-73.833184 40.940029)
Apple Bank For Savings,110 CHURCH STREET,NEW YORK,10007,New York,POINT (-74.009123 40.713441)
Apple Bank For Savings,706 West 181st Street,New  York,10033,New York,POINT (-73.936154 40.850306)
Apple Bank For Savings,3986 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.489406 40.725264)
Apple Bank For Savings,200 Birch Hill Road,Locust Valley,11560,Nassau,POINT (-73.596242 40.879593)
Apple Bank For Savings,333 Glen Cove Avenue,Sea Cliff,11579,Nassau,POINT (-73.634969 40.841696)
Apple Bank For Savings,74 Hugh J Grant Circle,Bronx,10472,Bronx,POINT (-73.860483 40.832817)
Apple Bank For Savings,1954 Flatbush Avenue,Brooklyn,11234,Kings,POINT (-73.936377 40.622153)
